query_id,doc_id,title_query,overview_query,title_phrase_query,overview_phrase_query,director_query,genre_query,cast_query,release_date_boost,vote_average_boost,revenue_boost
1,1370,8.474929,10.040056,8.474929,10.040056,0.0,0.0,0.0,1.226086e-10,22.740622,122202.83
1,1369,5.633094,8.522146,5.633094,8.522146,0.0,0.0,0.0,1.0109809e-11,15.732375,102398.5
1,522938,7.254919,9.001041,7.254919,9.001041,0.0,0.0,0.0,0.28578523,19.78878,72780.76
1,7555,10.18821,8.8185215,10.18821,8.8185215,0.0,0.0,0.0,0.00012399748,28.45412,0.0
1,1368,0.0,9.389727,0.0,9.389727,0.0,0.0,0.0,0.0,0.0,0.0
1,13258,0.0,7.9751577,0.0,7.9751577,0.0,0.0,0.0,0.0,0.0,0.0
1,61410,0.0,3.608121,0.0,3.608121,0.0,0.0,0.0,0.0,0.0,0.0
1,6280,0.0,0.0,0.0,0.0,0.0,0.0,4.6862364,0.0,0.0,0.0
1,64328,0.0,0.0,0.0,0.0,0.0,0.0,2.3765392,0.0,0.0,0.0
2,1374,7.7606244,6.502172,7.7606244,6.502172,0.0,0.0,4.0520477,1.975353e-11,22.331188,141090.0
2,1371,7.7606244,5.670297,7.7606244,5.670297,0.0,0.0,0.0,1.7609664e-12,22.168777,133744.19
2,1367,7.7606244,7.189769,7.7606244,7.189769,0.0,0.0,0.0,2.2734303e-13,22.652517,115161.07
2,1366,9.329502,7.7390227,9.329502,7.7390227,0.0,0.0,0.0,4.6204797e-14,28.359232,105945.8
2,1246,7.7606244,8.810481,7.7606244,8.810481,0.0,0.0,0.0,4.4189164e-05,22.005169,101570.31
2,1375,7.7606244,6.3850794,7.7606244,6.3850794,0.0,0.0,0.0,6.273295e-10,20.117838,89142.86
2,36685,5.158312,5.1738486,5.158312,5.1738486,0.0,0.0,0.0,1.0564093e-14,15.577761,57482.566
2,17711,5.158312,7.655475,5.158312,7.655475,0.0,0.0,0.0,3.2979344e-07,11.301295,32068.068
2,39495,0.0,8.262952,0.0,8.262952,0.0,0.0,0.0,0.0,0.0,0.0
2,28000,0.0,8.239899,0.0,8.239899,0.0,0.0,0.0,0.0,0.0,0.0
3,299536,5.3539586,0.0,0.0,0.0,0.0,0.0,0.0,0.07976557,16.896809,254009.3
3,70160,6.440277,6.5878954,0.0,0.0,0.0,0.0,0.0,0.0013764226,18.79855,177584.94
3,271110,4.6802177,0.0,0.0,0.0,0.0,0.0,0.0,0.017498307,13.946735,166698.95
3,101299,5.0005636,6.535899,0.0,0.0,0.0,0.0,0.0,0.0034231949,14.901344,152674.16
3,72190,5.3539586,0.0,0.0,0.0,0.0,0.0,0.0,0.0027671086,15.181093,129500.69
3,131631,4.4978237,0.0,0.0,0.0,0.0,0.0,0.0,0.0062050326,12.848355,129370.914
3,131634,4.4978237,6.6333222,0.0,0.0,0.0,0.0,0.0,0.01238652,12.942483,120586.234
3,74,4.6802177,0.0,0.0,0.0,0.0,0.0,0.0,9.557091e-06,12.970201,119406.41
3,9869,7.5232944,0.0,0.0,0.0,0.0,0.0,0.0,1.7815984e-09,21.172428,105287.625
3,57212,6.2542973,3.1164856,0.0,0.0,0.0,3.2578683,0.0,0.0011526463,18.383804,87413.37
4,9671,17.51438,17.053677,17.51438,0.0,0.0,0.0,0.0,8.016548e-11,48.15658,332784.22
4,9290,11.641413,13.141919,11.641413,13.141918,0.0,0.0,0.0,1.2811963e-06,28.799265,76676.66
4,29715,8.75719,7.8925657,0.0,0.0,0.0,0.0,0.0,1.36567875e-17,24.644917,1120.1093
4,39862,6.5531836,7.7376785,0.0,0.0,0.0,0.0,0.0,1.190676e-06,14.3573065,0.0
4,62962,0.0,8.485189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10539,0.0,8.235774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16305,0.0,0.0,0.0,0.0,0.0,0.0,8.031494,0.0,0.0,0.0
4,30062,0.0,7.180453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
